dataset_id	file_id	url	data_type	destination	expected_size	checksum	required_for_default	notes
GSE73661	series_matrix	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73661/matrix/GSE73661_series_matrix.txt.gz	geo_series_matrix	data/raw/GSE73661/GSE73661_series_matrix.txt.gz	31M	pending	yes	Primary validation candidate; contains expression matrix and sample characteristics for VDZ/IFX mucosal-healing endpoint extraction.
GSE57945	processed_rpkm	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57945/suppl/GSE57945_all_samples_RPKM.txt.gz	processed_expression	data/raw/GSE57945/GSE57945_all_samples_RPKM.txt.gz	23M	pending	yes	Secondary ileal CD/UC/control validation; processed RPKM available.
GSE109142	raw_quant_tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109142/suppl/GSE109142_RAW.tar	geo_raw_quant_tar	data/raw/GSE109142/GSE109142_RAW.tar	66M	pending	conditional	Preferred discovery candidate; tar likely contains per-sample processed quantification rather than FASTQ; endpoint labels require supplement extraction.
GSE109142	series_matrix	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109142/matrix/GSE109142_series_matrix.txt.gz	geo_series_matrix	data/raw/GSE109142/GSE109142_series_matrix.txt.gz	metadata	pending	conditional	Sample-level GEO metadata for PROTECT expression files; treatment outcome labels still require linked supplement extraction.
GSE117993	raw_quant_tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE117nnn/GSE117993/suppl/GSE117993_RAW.tar	geo_raw_quant_tar	data/raw/GSE117993/GSE117993_RAW.tar	51M	pending	conditional	Secondary rectal pediatric IBD/control validation; use after parser support.
GSE117993	series_matrix	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE117nnn/GSE117993/matrix/GSE117993_series_matrix.txt.gz	geo_series_matrix	data/raw/GSE117993/GSE117993_series_matrix.txt.gz	metadata	pending	conditional	Sample-level GEO metadata for rectal pediatric IBD/control validation.
GSE101794	raw_quant_tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101794/suppl/GSE101794_RAW.tar	geo_raw_quant_tar	data/raw/GSE101794/GSE101794_RAW.tar	29M	pending	conditional	Secondary ileal pediatric CD/control validation; use after parser support.
GSE101794	series_matrix	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101794/matrix/GSE101794_series_matrix.txt.gz	geo_series_matrix	data/raw/GSE101794/GSE101794_series_matrix.txt.gz	metadata	pending	conditional	Sample-level GEO metadata for ileal pediatric CD/control validation.
IBDMDB_HMP2	project_landing	https://ibdmdb.org/	landing_page	data/references/IBDMDB_HMP2.url	n/a	n/a	no	Longitudinal multi-omics extension; file-level manifest must be selected after endpoint intersection review.
GSE206285	series_matrix	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE206nnn/GSE206285/matrix/GSE206285_series_matrix.txt.gz	geo_series_matrix	data/raw/GSE206285/GSE206285_series_matrix.txt.gz	metadata	pending	conditional	Adult UNIFI ustekinumab UC candidate; label-map gate requires supplement/sample-level response mapping before modeling.
GSE92415	series_matrix	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92415/matrix/GSE92415_series_matrix.txt.gz	geo_series_matrix	data/raw/GSE92415/GSE92415_series_matrix.txt.gz	metadata	pending	conditional	Adult PURSUIT-SC golimumab UC candidate; label-map gate requires supplement/sample-level response mapping before modeling.
GSE12251	series_matrix	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12251/matrix/GSE12251_series_matrix.txt.gz	geo_series_matrix	data/raw/GSE12251/GSE12251_series_matrix.txt.gz	metadata	pending	yes	Approved adult direct endpoint import; GEO overall design defines week-8 endoscopic/histologic healing responders and non-responders.
GPL570	platform_annotation	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPLnnn/GPL570/annot/GPL570.annot.gz	geo_platform_annotation	data/raw/GPL570/GPL570.annot.gz	metadata	pending	yes	Affymetrix HG-U133 Plus 2.0 annotation required for GSE12251 probe-to-gene mapping.
GSE23597	series_matrix	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE23nnn/GSE23597/matrix/GSE23597_series_matrix.txt.gz	geo_series_matrix	data/raw/GSE23597/GSE23597_series_matrix.txt.gz	metadata	pending	conditional	Adult ACT1 infliximab/placebo UC biopsy time-course candidate; baseline/timepoint and response labels require parser review before modeling.
GSE16879	series_matrix	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16879/matrix/GSE16879_series_matrix.txt.gz	geo_series_matrix	data/raw/GSE16879/GSE16879_series_matrix.txt.gz	metadata	pending	conditional	Infliximab response IBD mucosal biopsy candidate; age scope and sample-level response mapping require confirmation before modeling.
