dataset_id	module	gene	available
GSE57945	upstream	IPMK	yes
GSE57945	upstream	IPPK	yes
GSE57945	upstream	HDAC3	yes
GSE57945	upstream	NCOR1	yes
GSE57945	upstream	NCOR2	yes
GSE57945	mmp	MMP1	yes
GSE57945	mmp	MMP3	yes
GSE57945	mmp	MMP10	yes
GSE57945	mmp	MMP12	yes
GSE57945	mmp	MMP13	yes
GSE57945	junction	TJP1	yes
GSE57945	junction	OCLN	yes
GSE57945	junction	CLDN2	yes
GSE73661	upstream	IPMK	yes
GSE73661	upstream	IPPK	yes
GSE73661	upstream	HDAC3	yes
GSE73661	upstream	NCOR1	yes
GSE73661	upstream	NCOR2	yes
GSE73661	mmp	MMP1	yes
GSE73661	mmp	MMP3	yes
GSE73661	mmp	MMP10	yes
GSE73661	mmp	MMP12	yes
GSE73661	mmp	MMP13	yes
GSE73661	junction	TJP1	yes
GSE73661	junction	OCLN	no
GSE73661	junction	CLDN2	yes
GSE109142	upstream	IPMK	yes
GSE109142	upstream	IPPK	yes
GSE109142	upstream	HDAC3	yes
GSE109142	upstream	NCOR1	yes
GSE109142	upstream	NCOR2	yes
GSE109142	mmp	MMP1	yes
GSE109142	mmp	MMP3	yes
GSE109142	mmp	MMP10	yes
GSE109142	mmp	MMP12	yes
GSE109142	mmp	MMP13	yes
GSE109142	junction	TJP1	yes
GSE109142	junction	OCLN	yes
GSE109142	junction	CLDN2	yes
GSE117993	upstream	IPMK	yes
GSE117993	upstream	IPPK	yes
GSE117993	upstream	HDAC3	yes
GSE117993	upstream	NCOR1	yes
GSE117993	upstream	NCOR2	yes
GSE117993	mmp	MMP1	yes
GSE117993	mmp	MMP3	yes
GSE117993	mmp	MMP10	yes
GSE117993	mmp	MMP12	yes
GSE117993	mmp	MMP13	yes
GSE117993	junction	TJP1	yes
GSE117993	junction	OCLN	yes
GSE117993	junction	CLDN2	yes
GSE101794	upstream	IPMK	yes
GSE101794	upstream	IPPK	yes
GSE101794	upstream	HDAC3	yes
GSE101794	upstream	NCOR1	yes
GSE101794	upstream	NCOR2	yes
GSE101794	mmp	MMP1	yes
GSE101794	mmp	MMP3	yes
GSE101794	mmp	MMP10	yes
GSE101794	mmp	MMP12	yes
GSE101794	mmp	MMP13	yes
GSE101794	junction	TJP1	yes
GSE101794	junction	OCLN	yes
GSE101794	junction	CLDN2	yes
GSE12251	upstream	IPMK	yes
GSE12251	upstream	IPPK	yes
GSE12251	upstream	HDAC3	yes
GSE12251	upstream	NCOR1	yes
GSE12251	upstream	NCOR2	yes
GSE12251	mmp	MMP1	yes
GSE12251	mmp	MMP3	yes
GSE12251	mmp	MMP10	yes
GSE12251	mmp	MMP12	yes
GSE12251	mmp	MMP13	yes
GSE12251	junction	TJP1	yes
GSE12251	junction	OCLN	yes
GSE12251	junction	CLDN2	yes
GSE92415	upstream	IPMK	yes
GSE92415	upstream	IPPK	yes
GSE92415	upstream	HDAC3	yes
GSE92415	upstream	NCOR1	yes
GSE92415	upstream	NCOR2	yes
GSE92415	mmp	MMP1	yes
GSE92415	mmp	MMP3	yes
GSE92415	mmp	MMP10	yes
GSE92415	mmp	MMP12	yes
GSE92415	mmp	MMP13	yes
GSE92415	junction	TJP1	yes
GSE92415	junction	OCLN	no
GSE92415	junction	CLDN2	yes
GSE206285	upstream	IPMK	yes
GSE206285	upstream	IPPK	yes
GSE206285	upstream	HDAC3	yes
GSE206285	upstream	NCOR1	yes
GSE206285	upstream	NCOR2	yes
GSE206285	mmp	MMP1	yes
GSE206285	mmp	MMP3	yes
GSE206285	mmp	MMP10	yes
GSE206285	mmp	MMP12	yes
GSE206285	mmp	MMP13	yes
GSE206285	junction	TJP1	yes
GSE206285	junction	OCLN	no
GSE206285	junction	CLDN2	yes
GSE23597	upstream	IPMK	yes
GSE23597	upstream	IPPK	yes
GSE23597	upstream	HDAC3	yes
GSE23597	upstream	NCOR1	yes
GSE23597	upstream	NCOR2	yes
GSE23597	mmp	MMP1	yes
GSE23597	mmp	MMP3	yes
GSE23597	mmp	MMP10	yes
GSE23597	mmp	MMP12	yes
GSE23597	mmp	MMP13	yes
GSE23597	junction	TJP1	yes
GSE23597	junction	OCLN	yes
GSE23597	junction	CLDN2	yes
GSE16879	upstream	IPMK	yes
GSE16879	upstream	IPPK	yes
GSE16879	upstream	HDAC3	yes
GSE16879	upstream	NCOR1	yes
GSE16879	upstream	NCOR2	yes
GSE16879	mmp	MMP1	yes
GSE16879	mmp	MMP3	yes
GSE16879	mmp	MMP10	yes
GSE16879	mmp	MMP12	yes
GSE16879	mmp	MMP13	yes
GSE16879	junction	TJP1	yes
GSE16879	junction	OCLN	yes
GSE16879	junction	CLDN2	yes
