dataset_id	endpoint	n	available_inflammation_genes	covariates	model_type	model	term	effect	ci_lower	ci_upper	pvalue	lr_p_axis_increment_over_inflammation	status
GSE73661	mucosal_healing	64	OSM;TREM1;TNF;TNFRSF1B;IL13RA2	C(treatment_family)	axis_only	mucosal_healing ~ axis_score_z + C(treatment_family)	axis_score_z	0.532751	0.2931	0.968351	0.0388802	NA	ok
GSE73661	mucosal_healing	64	OSM;TREM1;TNF;TNFRSF1B;IL13RA2	C(treatment_family)	inflammation_only	mucosal_healing ~ inflammation_score_z + C(treatment_family)	inflammation_score_z	0.262345	0.104105	0.661112	0.0045465	NA	ok
GSE73661	mucosal_healing	64	OSM;TREM1;TNF;TNFRSF1B;IL13RA2	C(treatment_family)	joint_adjusted	mucosal_healing ~ axis_score_z + inflammation_score_z + C(treatment_family)	axis_score_z	1.10517	0.461288	2.6478	0.822511	0.82174	ok
GSE73661	mucosal_healing	64	OSM;TREM1;TNF;TNFRSF1B;IL13RA2	C(treatment_family)	joint_adjusted	mucosal_healing ~ axis_score_z + inflammation_score_z + C(treatment_family)	inflammation_score_z	0.23962	0.0699018	0.821406	0.0230287	NA	ok
GSE109142	week4_remission	206	OSM;TREM1;TNF;TNFRSF1B;IL13RA2	total_mayo_score_num_z;C(initial_treatment)	axis_only	week4_remission ~ axis_score_z + total_mayo_score_num_z + C(initial_treatment)	axis_score_z	0.85111	0.624421	1.1601	0.307635	NA	ok
GSE109142	week4_remission	206	OSM;TREM1;TNF;TNFRSF1B;IL13RA2	total_mayo_score_num_z;C(initial_treatment)	inflammation_only	week4_remission ~ inflammation_score_z + total_mayo_score_num_z + C(initial_treatment)	inflammation_score_z	1.1041	0.820177	1.48631	0.513791	NA	ok
GSE109142	week4_remission	206	OSM;TREM1;TNF;TNFRSF1B;IL13RA2	total_mayo_score_num_z;C(initial_treatment)	joint_adjusted	week4_remission ~ axis_score_z + inflammation_score_z + total_mayo_score_num_z + C(initial_treatment)	axis_score_z	0.821091	0.595667	1.13183	0.228683	0.225267	ok
GSE109142	week4_remission	206	OSM;TREM1;TNF;TNFRSF1B;IL13RA2	total_mayo_score_num_z;C(initial_treatment)	joint_adjusted	week4_remission ~ axis_score_z + inflammation_score_z + total_mayo_score_num_z + C(initial_treatment)	inflammation_score_z	1.15539	0.848388	1.57347	0.359366	NA	ok
GSE101794	cd_status	304	OSM;TREM1;TNF;TNFRSF1B;IL13RA2	age_z;C(sex)	axis_only	cd_status ~ axis_score_z + age_z + C(sex)	axis_score_z	4.96686	2.96534	8.31937	1.12641e-09	NA	ok
GSE101794	cd_status	304	OSM;TREM1;TNF;TNFRSF1B;IL13RA2	age_z;C(sex)	inflammation_only	cd_status ~ inflammation_score_z + age_z + C(sex)	inflammation_score_z	139.475	14.6601	1326.95	1.73828e-05	NA	ok
GSE101794	cd_status	304	OSM;TREM1;TNF;TNFRSF1B;IL13RA2	age_z;C(sex)	joint_adjusted	cd_status ~ axis_score_z + inflammation_score_z + age_z + C(sex)	axis_score_z	3.74197	2.1629	6.47388	2.37824e-06	3.75365e-08	ok
GSE101794	cd_status	304	OSM;TREM1;TNF;TNFRSF1B;IL13RA2	age_z;C(sex)	joint_adjusted	cd_status ~ axis_score_z + inflammation_score_z + age_z + C(sex)	inflammation_score_z	23.6813	1.64942	340.002	0.0199068	NA	ok
GSE117993	ibd_status	190	OSM;TREM1;TNF;TNFRSF1B;IL13RA2	none	axis_only	ibd_status ~ axis_score_z	axis_score_z	2.50304	1.65661	3.78194	1.31847e-05	NA	ok
GSE117993	ibd_status	190	OSM;TREM1;TNF;TNFRSF1B;IL13RA2	none	inflammation_only	ibd_status ~ inflammation_score_z	inflammation_score_z	167.244	21.4307	1305.17	1.04179e-06	NA	ok
GSE117993	ibd_status	190	OSM;TREM1;TNF;TNFRSF1B;IL13RA2	none	joint_adjusted	ibd_status ~ axis_score_z + inflammation_score_z	axis_score_z	1.7776	1.11911	2.82355	0.0148248	0.011045	ok
GSE117993	ibd_status	190	OSM;TREM1;TNF;TNFRSF1B;IL13RA2	none	joint_adjusted	ibd_status ~ axis_score_z + inflammation_score_z	inflammation_score_z	159.414	18.432	1378.73	4.07828e-06	NA	ok
