dataset_id	endpoint	module	n	spearman_r_with_mmp_module	spearman_p
GSE73661	mucosal_healing	regulatory_module	64	0.0836538	0.511056
GSE73661	mucosal_healing	mmp_injury_module	64	1	0
GSE73661	mucosal_healing	junctional_module	64	0.338049	0.00629458
GSE73661	mucosal_healing	junctional_no_cldn2	64	0.352427	0.00428881
GSE73661	mucosal_healing	cldn2_only	64	0.175687	0.164948
GSE12251	wk8_endoscopic_histologic_healing	regulatory_module	22	0.0502541	0.824241
GSE12251	wk8_endoscopic_histologic_healing	mmp_injury_module	22	1	0
GSE12251	wk8_endoscopic_histologic_healing	junctional_module	22	0.620553	0.00206004
GSE12251	wk8_endoscopic_histologic_healing	junctional_no_cldn2	22	0.612648	0.00243632
GSE12251	wk8_endoscopic_histologic_healing	cldn2_only	22	0.26821	0.22749
GSE92415	week6_clinical_response	regulatory_module	87	0.177681	0.0996698
GSE92415	week6_clinical_response	mmp_injury_module	87	1	0
GSE92415	week6_clinical_response	junctional_module	87	0.418258	5.54771e-05
GSE92415	week6_clinical_response	junctional_no_cldn2	87	0.27362	0.0103359
GSE92415	week6_clinical_response	cldn2_only	87	0.360793	0.00059699
GSE206285	week8_mucosal_healing	regulatory_module	542	-0.0219843	0.609565
GSE206285	week8_mucosal_healing	mmp_injury_module	542	1	0
GSE206285	week8_mucosal_healing	junctional_module	542	0.17626	3.6855e-05
GSE206285	week8_mucosal_healing	junctional_no_cldn2	542	-0.00643398	0.881203
GSE206285	week8_mucosal_healing	cldn2_only	542	0.298623	1.25863e-12
GSE206285	week8_clinical_remission	regulatory_module	550	-0.0194525	0.64896
GSE206285	week8_clinical_remission	mmp_injury_module	550	1	0
GSE206285	week8_clinical_remission	junctional_module	550	0.183431	1.49909e-05
GSE206285	week8_clinical_remission	junctional_no_cldn2	550	-0.00147408	0.972485
GSE206285	week8_clinical_remission	cldn2_only	550	0.305416	2.44288e-13
GSE23597	week8_response	regulatory_module	45	0.000527009	0.997259
GSE23597	week8_response	mmp_injury_module	45	1	0
GSE23597	week8_response	junctional_module	45	0.468116	0.00118368
GSE23597	week8_response	junctional_no_cldn2	45	0.49249	0.000589059
GSE23597	week8_response	cldn2_only	45	0.213043	0.159988
GSE23597	week30_response	regulatory_module	45	0.000527009	0.997259
GSE23597	week30_response	mmp_injury_module	45	1	0
GSE23597	week30_response	junctional_module	45	0.468116	0.00118368
GSE23597	week30_response	junctional_no_cldn2	45	0.49249	0.000589059
GSE23597	week30_response	cldn2_only	45	0.213043	0.159988
GSE16879	infliximab_response	regulatory_module	61	0.526441	1.3136e-05
GSE16879	infliximab_response	mmp_injury_module	61	1	0
GSE16879	infliximab_response	junctional_module	61	0.192755	0.136667
GSE16879	infliximab_response	junctional_no_cldn2	61	0.268852	0.0361614
GSE16879	infliximab_response	cldn2_only	61	-0.100241	0.442103
GSE109142	week4_remission	regulatory_module	206	-0.066134	0.344934
GSE109142	week4_remission	mmp_injury_module	206	1	0
GSE109142	week4_remission	junctional_module	206	0.31111	5.32495e-06
GSE109142	week4_remission	junctional_no_cldn2	206	0.0968973	0.165888
GSE109142	week4_remission	cldn2_only	206	0.565762	7.94011e-19
