dataset_id	sample_size	disease_scope	tissue_site	platform	endpoint_family	intended_role	usability_decision	key_qc_status	age_stratum	clinical_role	modeled_endpoint_rows
GSE73661	178_total;64_baseline_endpoint	adult UC	colonic mucosal biopsy	Affymetrix Human Gene 1.0 ST Array	mucosal_healing	adult_direct_endpoint_anchor	usable_endpoint_modeled	metadata_expression_axis_endpoint_complete	adult	adult_direct_endpoint_anchor	2
GSE12251	23_arrays;22_unique_patients_endpoint	adult UC	colonic mucosal biopsy	Affymetrix HG-U133 Plus 2.0 Array	week8_endoscopic_histologic_healing	adult_direct_endpoint_validation	usable_endpoint_modeled	metadata_expression_axis_endpoint_complete	adult	adult_direct_endpoint_validation	2
GSE92415	183_total;87_baseline_endpoint	adult UC	colon mucosal biopsy	Affymetrix HT HG-U133+ PM Array	week6_clinical_response	adult_direct_endpoint_validation	usable_endpoint_modeled	metadata_expression_axis_endpoint_complete	adult	adult_direct_endpoint_validation	4
GSE206285	568_total;550_UC_baseline;542_mucosal_healing_endpoint	adult UC	sigmoid colon biopsy	Affymetrix HT HG-U133+ PM Array	week8_mucosal_healing;week8_clinical_remission	adult_direct_endpoint_expansion	usable_endpoint_modeled	metadata_expression_axis_endpoint_complete	adult	adult_direct_endpoint_expansion	4
GSE23597	113_total;45_baseline_endpoint	adult UC	colonic mucosal biopsy	Affymetrix HG-U133 Plus 2.0 Array	week8_response;week30_response	adult_direct_endpoint_validation	usable_endpoint_modeled	metadata_expression_axis_endpoint_complete	adult	adult_direct_endpoint_validation	4
GSE16879	133_total;61_pretreatment_endpoint	adult_or_mixed IBD	colon/ileum mucosal biopsy	Affymetrix HG-U133 Plus 2.0 Array	infliximab_response	adult_direct_endpoint_validation	usable_endpoint_modeled	metadata_expression_axis_endpoint_complete	adult	adult_direct_endpoint_validation	2
GSE109142	226_total;206_UC_endpoint	pediatric UC/control	rectum	Illumina RNA-seq processed quantification	treatment_response	discovery_candidate	usable_endpoint_modeled	metadata_expression_axis_endpoint_complete	pediatric_early_onset	pediatric_remission_context	3
GSE57945	254_axis_scored;322_metadata;pediatric_injury_endpoint_171_to_174	pediatric CD/UC/control	ileum	RNA-seq processed RPKM	phenotype_validation	mechanistic_site_validation	usable_secondary_modeled	metadata_expression_axis_phenotype_complete	pediatric_early_onset	pediatric_mucosal_injury_support	2
GSE101794	304	pediatric CD/control	ileum	RNA-seq processed quantification	phenotype_validation	CD_sensitivity_validation	usable_secondary_modeled	metadata_expression_axis_phenotype_complete	pediatric_early_onset	pediatric_phenotype_support	2
GSE117993	190	pediatric IBD/control	rectum	RNA-seq processed quantification	phenotype_validation	rectal_site_validation	usable_secondary_modeled	metadata_expression_axis_phenotype_complete	pediatric_early_onset	pediatric_phenotype_support	3
