dataset_id	age_stratum	endpoint_family	endpoint_name	endpoint_compatibility_group	effect_direction	pooling_eligible	non_pooling_reason	clinical_role	n
GSE73661	adult	mucosal_healing	mucosal_healing	mucosal_healing	inverse_or_lower_score_favors_endpoint	no	adult direct endpoint family; pooling requires a second compatible adult direct endpoint and aligned direction	adult_direct_endpoint_anchor	64
GSE73661	adult	mucosal_healing	mucosal_healing	mucosal_healing	inverse_or_lower_score_favors_endpoint	no	adult direct endpoint family; pooling requires a second compatible adult direct endpoint and aligned direction	adult_direct_endpoint_anchor	64
GSE109142	pediatric_early_onset	treatment_response_or_remission	week_4_remission	treatment_response_or_remission	inverse_or_lower_score_favors_endpoint	no	single_or_endpoint_incompatible	pediatric_remission_context	206
GSE109142	pediatric_early_onset	treatment_response_or_remission	week_4_remission	treatment_response_or_remission	inverse_or_lower_score_favors_endpoint	no	single_or_endpoint_incompatible	pediatric_remission_context	206
GSE109142	pediatric_early_onset	treatment_response_or_remission	week_4_remission	treatment_response_or_remission	inverse_or_lower_score_favors_endpoint	no	single_or_endpoint_incompatible	pediatric_remission_context	206
GSE57945	pediatric_early_onset	ulceration_or_inflammatory_severity	macroscopic_inflammation_vs_normal_or_microscopic	ulceration_or_inflammatory_severity	positive_or_higher_score_associates_with_endpoint	no	single_or_endpoint_incompatible	pediatric_mucosal_injury_support	171
GSE57945	pediatric_early_onset	ulceration_or_inflammatory_severity	deep_ulcer	ulceration_or_inflammatory_severity	positive_or_higher_score_associates_with_endpoint	no	single_or_endpoint_incompatible	pediatric_mucosal_injury_support	174
GSE117993	pediatric_early_onset	phenotype_validation	IBD_vs_control_rectum	phenotype_validation	positive_or_higher_score_associates_with_endpoint	no	single_or_endpoint_incompatible	pediatric_phenotype_support	190
GSE117993	pediatric_early_onset	phenotype_validation	CD_vs_control_rectum	phenotype_validation	positive_or_higher_score_associates_with_endpoint	no	single_or_endpoint_incompatible	pediatric_phenotype_support	147
GSE117993	pediatric_early_onset	phenotype_validation	UC_vs_control_rectum	phenotype_validation	positive_or_higher_score_associates_with_endpoint	no	single_or_endpoint_incompatible	pediatric_phenotype_support	98
GSE101794	pediatric_early_onset	phenotype_validation	CD_vs_nonIBD_ileum	phenotype_validation	positive_or_higher_score_associates_with_endpoint	no	single_or_endpoint_incompatible	pediatric_phenotype_support	304
GSE101794	pediatric_early_onset	phenotype_validation	CD_vs_nonIBD_ileum_age_sex_adjusted	phenotype_validation	positive_or_higher_score_associates_with_endpoint	no	single_or_endpoint_incompatible	pediatric_phenotype_support	304
GSE12251	adult	mucosal_healing_or_endoscopic_histologic_healing	week8_endoscopic_histologic_healing	mucosal_healing_or_endoscopic_histologic_healing	inverse_or_lower_score_favors_endpoint	no	adult direct endpoint family; pooling requires a second compatible adult direct endpoint and aligned direction	adult_direct_endpoint_validation	22
GSE12251	adult	mucosal_healing_or_endoscopic_histologic_healing	week8_endoscopic_histologic_healing	mucosal_healing_or_endoscopic_histologic_healing	inverse_or_lower_score_favors_endpoint	no	adult direct endpoint family; pooling requires a second compatible adult direct endpoint and aligned direction	adult_direct_endpoint_validation	22
GSE92415	adult	treatment_response_or_remission	week6_clinical_response	treatment_response_or_remission	inverse_or_lower_score_favors_endpoint	no	single_or_endpoint_incompatible	adult_direct_endpoint_validation	87
GSE92415	adult	treatment_response_or_remission	week6_clinical_response	treatment_response_or_remission	inverse_or_lower_score_favors_endpoint	no	single_or_endpoint_incompatible	adult_direct_endpoint_validation	87
GSE92415	adult	treatment_response_or_remission	week6_clinical_response	treatment_response_or_remission	inverse_or_lower_score_favors_endpoint	no	single_or_endpoint_incompatible	adult_direct_endpoint_validation	87
GSE92415	adult	treatment_response_or_remission	week6_clinical_response	treatment_response_or_remission	inverse_or_lower_score_favors_endpoint	no	single_or_endpoint_incompatible	adult_direct_endpoint_validation	59
GSE206285	adult	mucosal_healing	week8_mucosal_healing	mucosal_healing	inverse_or_lower_score_favors_endpoint	no	adult direct endpoint family; pooling requires a second compatible adult direct endpoint and aligned direction	adult_direct_endpoint_expansion	542
GSE206285	adult	mucosal_healing	week8_mucosal_healing	mucosal_healing	inverse_or_lower_score_favors_endpoint	no	adult direct endpoint family; pooling requires a second compatible adult direct endpoint and aligned direction	adult_direct_endpoint_expansion	542
GSE206285	adult	clinical_remission	week8_clinical_remission	clinical_remission	inverse_or_lower_score_favors_endpoint	no	single_or_endpoint_incompatible	adult_direct_endpoint_expansion	550
GSE206285	adult	clinical_remission	week8_clinical_remission	clinical_remission	inverse_or_lower_score_favors_endpoint	no	single_or_endpoint_incompatible	adult_direct_endpoint_expansion	550
GSE23597	adult	treatment_response_or_remission	week8_response	treatment_response_or_remission	inverse_or_lower_score_favors_endpoint	no	single_or_endpoint_incompatible	adult_direct_endpoint_validation	45
GSE23597	adult	treatment_response_or_remission	week8_response	treatment_response_or_remission	inverse_or_lower_score_favors_endpoint	no	single_or_endpoint_incompatible	adult_direct_endpoint_validation	45
GSE23597	adult	treatment_response_or_remission	week30_response	treatment_response_or_remission	inverse_or_lower_score_favors_endpoint	no	single_or_endpoint_incompatible	adult_direct_endpoint_validation	45
GSE23597	adult	treatment_response_or_remission	week30_response	treatment_response_or_remission	inverse_or_lower_score_favors_endpoint	no	single_or_endpoint_incompatible	adult_direct_endpoint_validation	45
GSE16879	adult	treatment_response_or_remission	infliximab_response	treatment_response_or_remission	inverse_or_lower_score_favors_endpoint	no	single_or_endpoint_incompatible	adult_direct_endpoint_validation	61
GSE16879	adult	treatment_response_or_remission	infliximab_response	treatment_response_or_remission	inverse_or_lower_score_favors_endpoint	no	single_or_endpoint_incompatible	adult_direct_endpoint_validation	61
